filename,plane,ship,none
0__20170517_175132_102e__-119.196455877_34.1777121066.png,0,0,1
0__20170727_174406_1033__-117.20577086223231_32.73282272498151.png,0,0,1
0__20161019_181958_0c41__-118.408791293_33.9394760203.png,0,0,1
0__20170515_181138_0e0f__-121.91125937117673_37.34342002708884.png,0,0,1
0__20170621_181252_0e26__-122.22003175199225_37.715904115500415.png,0,0,1
0__20151112_182721_0c18__-118.257221567_33.7857141017.png,0,0,1
0__20170615_174851_100b__-118.40102382159456_33.940863257651465.png,0,0,1
1__20160816_203207_0c82__-122.216411558_37.7188167931.png,1,0,0
0__20160218_195027_0c66__-121.82779773753428_37.29178659826529.png,0,0,1
1__20180713_180403_1035__-118.20276582323596_33.730901398491014.png,0,1,0
0__20170402_175526_0e26__-119.188514857_34.0906757557.png,0,0,1
1__20170618_174929_1031__-118.40520615987701_33.94194221020487.png,1,0,0
0__20151118_160422_0c68__-118.18531213168544_33.82027222764956.png,0,0,1
0__20170624_174657_101b__-117.75164392542985_33.63368339965195.png,0,0,1
0__20151023_183111_0b07__-118.09392119443083_33.76581480542012.png,0,0,1
0__20170717_174953_0f43__-118.11084032836641_33.68357575710934.png,0,0,1
0__20171022_175437_1001__-118.04458858907601_33.72349350576334.png,0,0,1
1__20170722_175150_1033__-118.40738912247757_33.94100007508055.png,1,0,0
0__20170404_174452_100f__-118.061545533_33.7805183613.png,0,0,1
0__20170222_231256_0c27__-122.378522306_37.6291290191.png,0,0,1
0__20170419_180520_1009__-122.40844262524546_37.70607603010185.png,0,0,1
0__20170321_180249_0f1d__-121.957388117_37.3923731398.png,0,0,1
0__20160708_185913_0c75__-121.546902838_38.7754044551.png,0,0,1
0__20161010_214835_1_0c78__-117.829863428_33.5937877059.png,0,0,1
0__20170827_181129_1014__-122.44311536009852_37.775276913640624.png,0,0,1
0__20170728_003042_0c76__-117.12351055763166_32.65918564773556.png,0,0,1
1__20161103_195402_0c24__-122.215965821_37.7195501085.png,1,0,0
0__20160207_233529_0c66__-117.52770464892974_34.06061063114167.png,0,0,1
1__20161227_174445_0e20__-117.207078321_32.73252599.png,1,0,0
0__20170502_180548_1044__-122.391089915_37.6180810904.png,0,0,1
0__20170626_174707_102d__-117.9132431894665_33.74049807705831.png,0,0,1
1__20170721_180939_0f31__-122.39100025600172_37.61833250832772.png,1,0,0
0__20151118_160627_0c72__-118.1178390217161_33.84636156153221.png,0,0,1
0__20170620_232749_1_0c79__-117.60669780383678_34.06030021789625.png,0,0,1
1__20170225_180319_0f1d__-122.390622777_37.6206818522.png,1,0,0
1__20171212_181755_0e26__-122.32982847634631_37.73967110277111.png,0,1,0
0__20151112_182751_0c47__-117.88831836335055_33.7165724085742.png,0,0,1
0__20170303_174735_0e3a__-117.193564785_32.6998802853.png,0,0,1
0__20170716_175502_1040__-118.9230986111111_34.079916330498214.png,0,0,1
0__20150825_181119_0b0e__-118.25674769208617_33.830873900692254.png,0,0,1
0__20170713_180941_1002__-122.39225159055309_37.61735699739572.png,0,0,1
0__20170729_233953_0c42__-118.35858156524861_33.84567487558612.png,0,0,1
0__20170615_174858_0f51__-118.40804282981794_33.94527412114295.png,0,0,1
0__20160210_222523_0c18__-118.17377132642295_33.79646562285413.png,0,0,1
0__20170724_175536_0e0e__-118.41232653417286_33.98055732080836.png,0,0,1
1__20170626_175230_0e0e__-117.86395759683761_33.6768286164329.png,1,0,0
0__20170211_181115_0e16__-122.28083927335967_37.77058572660321.png,0,0,1
0__20170508_175352_0e19__-118.404551048_33.9402008221.png,0,0,1
0__20170627_175043_100a__-118.40410336338138_33.940611738365654.png,0,0,1
0__20161114_180545_0e16__-121.588559138_38.694327952.png,0,0,1
0__20170529_174519_1024__-117.63887327140884_34.10258769371973.png,0,0,1
0__20170419_174117_1042__-117.364730833_32.7381981912.png,0,0,1
0__20151118_160631_0c72__-117.77223069476496_33.70046917893855.png,0,0,1
0__20170716_180818_103a__-122.38957733863417_37.6118270176884.png,0,0,1
0__20170620_174628_0f15__-117.64500582990458_34.01914246542604.png,0,0,1
0__20170425_144325_0c46__-117.574144338_34.0053433062.png,0,0,1
0__20170504_180617_102d__-122.38874792550897_37.804101699435726.png,0,0,1
1__20170619_180819_0f3f__-122.38996273584476_37.620394503022844.png,1,0,0
1__20160216_195851_0c47__-117.861876815_33.6800196411.png,1,0,0
1__20170416_174628_1024__-118.403673721_33.9398116832.png,1,0,0
0__20170602_174242_1021__-117.24410128018441_32.72276799524502.png,0,0,1
0__20161102_180659_0e26__-122.332345815_37.7247596024.png,0,0,1
0__20170524_174641_1025__-118.16108415530393_33.86958107045973.png,0,0,1
0__20170708_180827_1021__-122.34171370989291_37.74711984329501.png,0,0,1
1__20170729_175107_1036__-118.4099424696956_33.94540813262289.png,1,0,0
0__20170113_174839_0e3a__-117.780302386_33.6264438971.png,0,0,1
0__20161218_180845_0e26__-122.42279348056691_37.812736714085595.png,0,0,1
0__20170706_180954_1040__-122.29107300308581_37.811828350640674.png,0,0,1
0__20170718_174851_1010__-118.18521854458757_33.94954220075131.png,0,0,1
0__20170722_181137_0e30__-121.94680584646572_37.397822608316446.png,0,0,1
1__20170415_174637_0f28__-118.431244809_33.9371970891.png,1,0,0
0__20161102_180659_0e26__-122.47487730972766_37.67702537020034.png,0,0,1
0__20151101_223245_0c07__-121.83447240825821_37.37897624266739.png,0,0,1
0__20170728_175003_102a__-118.38586181189929_33.93465013650743.png,0,0,1
0__20170416_185911_0c44__-118.401167819_33.941727345.png,0,0,1
0__20170403_180411_100f__-122.28532433955333_37.778832932685816.png,0,0,1
0__20160816_174600_0e0e__-118.38842065_33.9343237104.png,0,0,1
0__20170524_181347_0e2f__-122.40353786511895_37.71930074901944.png,0,0,1
0__20170620_175442_0e30__-118.40497958242354_33.94652654979845.png,0,0,1
0__20170120_180944_0e14__-122.358772466_37.5772686065.png,0,0,1
0__20170504_180621_102d__-122.378839532_37.6277786895.png,0,0,1
0__20160222_173713_0c18__-117.862336656_33.6794180248.png,0,0,1
1__20170416_185911_0c44__-118.411438142_33.9445837371.png,1,0,0
0__20170722_180557_100c__-121.39389181685004_38.66716157550093.png,0,0,1
0__20170728_175002_102a__-118.39225133048895_34.002104515773254.png,0,0,1
1__20170414_180531_0f28__-122.390982604_37.6170213101.png,1,0,0
0__20151105_184838_090c__-122.377925007_37.6273682713.png,0,0,1
0__20151105_184838_090c__-122.300392144_37.6909100817.png,0,0,1
0__20170620_174720_1035__-117.91856827638621_33.64749155212572.png,0,0,1
0__20151118_160622_0c72__-118.30701479256618_33.95964492761129.png,0,0,1
0__20160209_222542_1_0b0f__-118.398728017_33.9414033908.png,0,0,1
0__20161102_180701_0e26__-122.388032532_37.6136847825.png,0,0,1
0__20170622_180821_1034__-122.38794246833281_37.62052545193919.png,0,0,1
0__20160830_220133_0c24__-118.403643567_33.9462171453.png,0,0,1
0__20170508_171051_0c43__-122.40508922905305_37.665742854299886.png,0,0,1
0__20170618_173640_0c38__-118.4530105488689_33.90757962392502.png,0,0,1
0__20160816_174559_0e30__-118.406400466_33.9421275892.png,0,0,1
0__20170615_180730_1003__-122.13640892895464_37.57422886033031.png,0,0,1
0__20161229_175031_0e0d__-118.409094767_33.9874119194.png,0,0,1
1__20170626_180908_1015__-122.38370291898272_37.61474007266974.png,1,0,0
0__20170723_174643_100c__-117.49648936379805_34.003597912344546.png,0,0,1
0__20161112_174903_0e14__-118.575577785_33.9349383242.png,0,0,1
0__20180707_180451_102e__-118.22449882099471_33.73810100078751.png,0,0,1
0__20170616_180825_100e__-122.34148376852475_37.75001177527754.png,0,0,1
1__20170513_174817_0f10__-118.402483402_33.940401205.png,1,0,0
0__20170501_181319_0e1f__-122.40559373689004_37.81549029342611.png,0,0,1
1__20161128_174850_0e30__-118.403770832_33.9411002799.png,1,0,0
0__20170624_174443_0f25__-117.21895867719964_32.73131196368623.png,0,0,1
0__20151231_223739_0c70__-122.17463491836031_37.72730303915965.png,0,0,1
0__20171023_190148_0f2e__-122.2635728102283_37.85943736992828.png,0,0,1
0__20180206_184438_1043__-122.49531387721586_37.698557210117706.png,0,0,1
1__20161008_174747_0e26__-118.4316008_33.937964191.png,1,0,0
0__20170522_174816_0f1d__-118.407592757_33.9396250004.png,0,0,1
0__20170618_180559_0f1d__-121.92328459885115_37.36462160472766.png,0,0,1
1__20170627_175609_0e2f__-118.40738912247757_33.94100007508055.png,1,0,0
0__20170727_012417_0c43__-117.84203424886637_33.72146924178776.png,0,0,1
0__20150907_203407_1_0b0f__-122.368861886_37.5774041028.png,0,0,1
0__20171217_181636_1032__-122.18935467257876_37.81968949777152.png,0,0,1
0__20170116_180731_0e30__-122.072093032_37.3798086613.png,0,0,1
1__20170415_174637_0f28__-118.401335197_33.9409856207.png,1,0,0
0__20161108_174253_0e30__-117.1182828401532_32.6978629996916.png,0,0,1
1__20171212_181755_0e26__-122.33266963436137_37.74936733203823.png,0,1,0
0__20151118_160419_0c68__-118.36115627978221_34.03819063299077.png,0,0,1
1__20161214_174940_0e26__-118.40483797_33.946180495.png,1,0,0
0__20170121_175133_0e14__-118.386169669_33.9336186169.png,0,0,1
0__20180713_180403_1035__-118.22613030936381_33.729859925293674.png,0,0,1
0__20160905_194202_0c27__-117.2195483717778_32.72370644514211.png,0,0,1
1__20170613_174901_1036__-118.40564004881476_33.93290175369413.png,1,0,0
0__20180712_180429_101b__-118.15066335788352_33.696874603043355.png,0,0,1
0__20170504_180621_102d__-122.3816312_37.6150034155.png,0,0,1
0__20150827_012519_0b0a__-118.34539441316427_33.900009620850234.png,0,0,1
0__20170224_175032_0e20__-118.031559872_33.803580889.png,0,0,1
1__20170106_180853_0e30__-122.389554111_37.6177206255.png,1,0,0
1__20170501_180613_100e__-122.380298664_37.6175005451.png,1,0,0
0__20170504_180621_102d__-122.378849433_37.6265889813.png,0,0,1
0__20170430_174727_1029__-118.401216327_33.9407257968.png,0,0,1
0__20160806_235041_0c59__-117.59815093_34.0792000702.png,0,0,1
0__20160719_180314_0e14__-122.25965109156748_37.644099049485554.png,0,0,1
0__20161031_211237_0c37__-118.428288906_33.9446891598.png,0,0,1
0__20170508_180614_1010__-122.393389958_37.6194990201.png,0,0,1
0__20170716_175119_1034__-118.05993796362674_33.77100848144527.png,0,0,1
0__20170830_181003_0f4e__-122.10005234093857_37.77464331549984.png,0,0,1
0__20170505_175002_0e0e__-117.49668567185405_34.05960353388982.png,0,0,1
0__20170529_174525_1024__-117.685637855_33.6557942207.png,0,0,1
1__20170619_180827_1032__-122.3931819474448_37.619233842115186.png,1,0,0
0__20151101_223401_0c07__-117.63469952556233_34.13599595769891.png,0,0,1
0__20160715_174339_0e30__-118.07688613886934_33.807603594217184.png,0,0,1
0__20160808_000535_0c79__-122.24169522974509_37.78780760060045.png,0,0,1
1__20161031_211238_1_0c37__-118.399025953_33.9426410877.png,1,0,0
0__20160816_174558_0e30__-118.43325070872118_33.99278705897744.png,0,0,1
1__20170513_174817_0f10__-118.385811886_33.9349447062.png,1,0,0
0__20170416_185911_0c44__-118.41207465131204_33.97907225629998.png,0,0,1
1__20160905_193608_0c24__-122.390982604_37.6170213101.png,1,0,0
0__20170530_174533_1007__-117.43712019416462_34.08921276130641.png,0,0,1
1__20170524_181348_0e2f__-122.390622777_37.6206818522.png,1,0,0
1__20170609_180800_103a__-122.39027674040308_37.61268711969772.png,1,0,0
0__20170419_180522_1009__-122.2554625139813_37.52187879901287.png,0,0,1
1__20170520_174843_1008__-118.385868349_33.9333202651.png,1,0,0
0__20170626_175229_0e0e__-117.86210607787099_33.679013778851676.png,0,0,1
0__20170413_180453_1041__-122.396996472_37.6191119044.png,0,0,1
0__20161021_180537_0c27__-121.8584291269059_37.32972630918691.png,0,0,1
1__20170723_180811_1005__-122.21484983141934_37.72033783306543.png,1,0,0
0__20160306_200032_0c47__-117.557472641_33.954716366.png,0,0,1
1__20170620_174906_1032__-118.40255621715441_33.940833706470755.png,1,0,0
0__20170520_174842_1008__-118.403625322_33.9470830787.png,0,0,1
0__20151118_160418_0c53__-118.31008571515925_33.780456504891205.png,0,0,1
0__20170602_174536_101f__-117.69942016840322_34.073308365492544.png,0,0,1
0__20151115_171055_0c47__-121.89314453475123_37.32002418838342.png,0,0,1
0__20170416_174629_1024__-118.418115155_33.9399641482.png,0,0,1
0__20170509_181224_0e16__-122.116646652_37.7513260938.png,0,0,1
1__20170101_201603_0c22__-118.402908271_33.9332101528.png,1,0,0
0__20170617_170358_0c13__-118.34138759845322_33.8388560348964.png,0,0,1
1__20170502_175430_0e1f__-118.431244809_33.9371970891.png,1,0,0
0__20170306_180835_0e30__-121.704035121_38.6989360222.png,0,0,1
0__20160806_001951_0c79__-119.048736044_34.14018084.png,0,0,1
0__20170515_180653_1007__-122.4739946106464_37.79226435387626.png,0,0,1
0__20160916_174733_0e20__-118.404522091_33.9463423935.png,0,0,1
0__20170423_180331_102e__-121.83371025956434_37.30998912842562.png,0,0,1
0__20161008_174747_0e26__-118.404181595_33.9414224641.png,0,0,1
0__20170126_175027_0e14__-118.12373237906074_33.758972404936365.png,0,0,1
0__20170623_181207_0e14__-121.74423265274444_38.718217360560566.png,0,0,1
0__20160621_181648_1_0c81__-117.49638025799275_33.93452307599583.png,0,0,1
0__20150904_215129_0b0a__-118.200231382_33.7604978183.png,0,0,1
1__20160810_174548_0e16__-118.399814803_33.9402325539.png,1,0,0
1__20170702_181120_103a__-122.32570961605553_37.72829104311612.png,0,1,0
0__20170626_174403_1025__-117.1987289779553_32.73378126324257.png,0,0,1
0__20160830_220133_0c24__-118.381860657_33.9340999236.png,0,0,1
0__20161021_174634_0e16__-117.87016956777863_33.71483468986086.png,0,0,1
0__20170725_175422_101a__-119.031560871912_34.08041553753842.png,0,0,1
0__20170404_180317_1017__-121.97800732638771_37.35139760395323.png,0,0,1
0__20170423_180310_102e__-121.581171077_38.7138379051.png,0,0,1
0__20170619_180815_0f22__-122.25889074562416_37.75471290300251.png,0,0,1
0__20170802_191250_0f2a__-122.39186417057465_37.62735981858558.png,0,0,1
1__20160704_204238_0c41__-122.215965821_37.7195501085.png,1,0,0
1__20170218_181102_0e20__-122.3876445_37.6207868997.png,1,0,0
0__20170307_180341_1029__-122.378935671_37.6284822356.png,0,0,1
0__20170111_175315_0e14__-119.05791246522364_34.10405120787608.png,0,0,1
0__20160207_233529_0c66__-117.64174499370364_34.09524063301118.png,0,0,1
0__20151202_183817_0905__-118.408950073_33.9412327078.png,0,0,1
1__20170513_174817_0f10__-118.405026377_33.9414831678.png,1,0,0
1__20170120_180944_0e14__-122.393963872_37.618967716.png,1,0,0
0__20170406_174439_100c__-118.20214007406658_33.832175967661826.png,0,0,1
0__20150819_184513_0906__-122.184499383_37.7993768135.png,0,0,1
1__20170619_180820_0f3f__-122.39718238473623_37.619045510734864.png,1,0,0
0__20170430_201723_0c27__-118.404082457_33.9413153792.png,0,0,1
0__20170724_181038_1011__-122.38861545606156_37.61306588219844.png,0,0,1
0__20160717_154015_0c81__-117.53022976520431_34.09022607719297.png,0,0,1
0__20151118_160418_0c68__-118.476728798_34.0052583977.png,0,0,1
0__20170629_180856_1029__-122.3778795168252_37.62874707159482.png,0,0,1
0__20161011_180458_0e20__-121.9070417_37.3866997103.png,0,0,1
0__20151118_160625_0c72__-118.16546487997246_33.94602430357089.png,0,0,1
0__20170501_181321_0e1f__-122.50877760053922_37.73135921608149.png,0,0,1
0__20170325_175322_0e20__-118.403925997_33.9396939273.png,0,0,1
0__20170106_180851_0e30__-122.38050891941432_37.73372927085436.png,0,0,1
0__20160221_180212_0c53__-117.79482212440419_33.67543334205542.png,0,0,1
0__20151112_182744_0c47__-118.37973131177168_33.926846256812965.png,0,0,1
0__20170501_180555_1018__-122.392780726_37.6191714059.png,0,0,1
0__20170529_180507_1007__-121.895295749_37.3049016055.png,0,0,1
1__20170615_181426_0e0d__-122.3255971913652_37.72942605788175.png,0,1,0
0__20170618_180704_0f52__-122.19234176879777_37.383881887939665.png,0,0,1
0__20151030_162249_0c03__-121.50898475916254_38.63421777268692.png,0,0,1
0__20170717_180820_1010__-122.39008231965767_37.61242451074382.png,0,0,1
0__20160627_155710_0c13__-118.3053522176357_33.81013185886389.png,0,0,1
0__20171212_181755_0e26__-122.282908930589_37.76437931512033.png,0,0,1
1__20170609_180758_103a__-122.38317047796048_37.614506667431556.png,1,0,0
0__20170413_180453_1041__-122.13416736355894_37.58297334828925.png,0,0,1
1__20160414_192803_0c03__-117.863023667_33.6783103947.png,1,0,0
1__20170415_174637_0f28__-118.402131651_33.9332632117.png,1,0,0
1__20170325_175322_0e20__-118.40483797_33.946180495.png,1,0,0
1__20161116_180805_0e14__-122.390423503_37.6214132479.png,1,0,0
0__20170722_181138_0e30__-121.90094369381897_37.361036063869534.png,0,0,1
0__20170106_180853_0e30__-122.380973272_37.6164601293.png,0,0,1
1__20160829_195802_0c72__-122.390982604_37.6170213101.png,1,0,0
0__20171212_181754_0e26__-122.20434591409335_37.82663255225013.png,0,0,1
0__20161002_174633_0e14__-118.194803805_33.8268362278.png,0,0,1
0__20170618_180802_0f34__-122.38027403480446_37.68427253872909.png,0,0,1
0__20170211_181118_0e16__-122.381938011_37.6148968626.png,0,0,1
0__20170524_181347_0e2f__-122.43720801451403_37.76813747939149.png,0,0,1
0__20170419_180522_1009__-122.388006465_37.6210125047.png,0,0,1
1__20170721_175019_1004__-118.40472006731058_33.939751261594495.png,1,0,0
0__20160720_174344_0e0f__-118.00557440230072_33.83463925728891.png,0,0,1
1__20160816_174559_0e30__-118.407530502_33.9415956429.png,1,0,0
0__20161102_204053_0c45__-117.204975055_32.7348536948.png,0,0,1
1__20160704_204349_0d05__-122.393181947_37.6192338421.png,1,0,0
0__20151231_223738_0c70__-122.16778355611108_37.74328911230183.png,0,0,1
0__20160830_220133_0c24__-118.405834508_33.9392933914.png,0,0,1
0__20170314_155238_0c12__-122.42810237542236_37.76514634234422.png,0,0,1
1__20170620_175442_0e30__-118.40506768744372_33.94103211052769.png,1,0,0
0__20170723_181447_0e0e__-122.54581507094935_37.84891303958385.png,0,0,1
0__20170520_174842_1008__-118.38030838_33.9324399849.png,0,0,1
0__20160704_204349_0d05__-122.29233586278269_37.76519340123061.png,0,0,1
0__20160922_174934_0e0e__-118.881661771_34.0349229802.png,0,0,1
1__20151112_182744_0c47__-118.382059379_33.9340026397.png,1,0,0
1__20170101_201603_0c22__-118.399025953_33.9426410877.png,1,0,0
0__20151029_161055_0b0a__-118.37378633759359_33.96486956258221.png,0,0,1
0__20170517_174852_0e20__-117.186955676_32.6923128409.png,0,0,1
0__20170622_180633_1038__-121.87911358762818_37.37107943965705.png,0,0,1
1__20161218_180847_0e26__-122.390319162_37.6112321591.png,1,0,0
1__20160911_174650_0e14__-118.404737794_33.9326810922.png,1,0,0
1__20161116_180805_0e14__-122.389554111_37.6177206255.png,1,0,0
1__20170314_155240_0c12__-122.389382406_37.6201492015.png,1,0,0
0__20161116_174320_0e0f__-117.2217239315468_32.69723568346189.png,0,0,1
0__20150827_012522_0b0a__-118.14622317238512_33.76220166527229.png,0,0,1
0__20170414_180531_0f28__-122.392014749_37.617220577.png,0,0,1
1__20160221_175529_0c68__-117.198530218_32.7338489116.png,1,0,0
1__20170502_175430_0e1f__-118.410663192_33.9393863324.png,1,0,0
0__20170707_174130_0c0b__-122.32085718084211_37.80105299501839.png,0,0,1
1__20170524_174812_102d__-118.40520616_33.9419422102.png,1,0,0
0__20170430_201723_0c27__-118.403870824_33.9422646807.png,0,0,1
0__20170223_225436_1_0c37__-117.80552371716638_33.74021970465927.png,0,0,1
0__20170714_175018_1002__-118.4049164788001_33.94071067677289.png,0,0,1
1__20170615_174851_100b__-118.40650684989104_33.93952360405632.png,1,0,0
0__20170628_174357_1044__-117.2037571075435_32.734314436068075.png,0,0,1
0__20170520_174842_1008__-118.401535987_33.9404245643.png,0,0,1
0__20160627_155712_0c13__-118.22242928537761_33.85684010173546.png,0,0,1
0__20170416_174557_1028__-118.403449854_33.9403486513.png,0,0,1
0__20170715_174820_1030__-117.86314468711215_33.68255099214145.png,0,0,1
1__20160714_165520_0c59__-118.398998471_33.9416349911.png,1,0,0
0__20170415_180506_1024__-122.380084151_37.6293805954.png,0,0,1
0__20170713_180941_1002__-122.37809025750228_37.62793698254048.png,0,0,1
0__20170618_174929_1031__-118.40494003275224_33.94214426630889.png,0,0,1
0__20170717_175458_0f28__-118.95574755612385_34.10718165885801.png,0,0,1
0__20170304_175003_0e26__-118.13579891326188_33.85588321882017.png,0,0,1
0__20170222_231302_0c27__-122.0300337522419_37.311977632070956.png,0,0,1
0__20170615_174851_100b__-118.39870899189525_33.940240286612024.png,0,0,1
1__20170720_175027_1015__-118.40255621715441_33.940833706470755.png,1,0,0
0__20170628_180618_0f51__-121.41991034124639_38.702334877761665.png,0,0,1
0__20170627_175043_100a__-118.4303146730543_33.9454772512367.png,0,0,1
0__20170726_174731_0f34__-117.48714629794384_34.05707137807474.png,0,0,1
0__20170423_174145_100e__-117.20490594_32.7326347061.png,0,0,1
0__20140929_180605_0905__-118.22440880491867_33.743161275041466.png,0,0,1
1__20170729_175335_101d__-118.40592455007884_33.93955085537867.png,1,0,0
0__20170501_181322_0e1f__-122.527152107_37.625735208.png,0,0,1
0__20160830_220135_0c37__-118.184840371_33.8448159013.png,0,0,1
0__20170416_185913_0c44__-118.27163946198942_33.991128032591604.png,0,0,1
0__20160627_155712_0c13__-118.256704253_33.8721872136.png,0,0,1
0__20170602_174242_1021__-117.23454300616743_32.74037667083799.png,0,0,1
0__20170715_174814_1030__-117.70051848795855_34.09218694463734.png,0,0,1
0__20170503_180428_0f28__-121.86359481163095_37.36668602203943.png,0,0,1
1__20160809_180313_0e3a__-121.929459635_37.3684506654.png,1,0,0
0__20170101_180919_0e30__-122.391120159_37.6185409276.png,0,0,1
0__20170407_175220_0e26__-118.404912004_33.9463649977.png,0,0,1
1__20170204_225400_0c46__-118.384444787_33.9340282356.png,1,0,0
0__20170416_174556_1028__-118.19085910414287_33.93030590144348.png,0,0,1
0__20160209_222541_0b0f__-118.431257555_33.9378100619.png,0,0,1
0__20160815_180248_0e30__-121.9362659275682_37.29454184268794.png,0,0,1
1__20160829_195802_0c72__-122.39194456_37.6132233031.png,1,0,0
0__20161003_213744_0c74__-118.43119582_33.9380001565.png,0,0,1
0__20170327_174203_0f25__-117.4536388141386_34.05847124562833.png,0,0,1
0__20170413_180453_1041__-122.393064537_37.6177127025.png,0,0,1
0__20151209_183408_0906__-117.0580948_32.7701886687.png,0,0,1
0__20170502_180548_1044__-122.393336912_37.617660023.png,0,0,1
1__20170613_180813_1017__-122.32256994909217_37.717916915564196.png,0,1,0
0__20170623_181228_0e14__-122.08033442019402_37.3597818229336.png,0,0,1
1__20151202_183817_0905__-118.40650685_33.9395236041.png,1,0,0
1__20151029_161054_0b0a__-118.39902672_33.9403363423.png,1,0,0
1__20170727_012417_0c43__-117.8611940333088_33.68107837904123.png,1,0,0
0__20151112_182747_0c47__-118.0980034490463_33.885039745671975.png,0,0,1
0__20180707_180451_102e__-118.18030254367322_33.72922427086482.png,0,0,1
0__20170502_175430_0e1f__-118.423369882_33.9377933.png,0,0,1
0__20170619_181348_0e30__-122.39294937048406_37.61933451396387.png,0,0,1
0__20170501_181321_0e1f__-122.33909103544289_37.65903715812217.png,0,0,1
0__20151118_160418_0c68__-118.38812325698055_34.09167142942849.png,0,0,1
0__20160822_172905_0c1b__-117.855134539_33.586012503.png,0,0,1
0__20170722_175005_0f31__-118.17069646386751_33.79911922384827.png,0,0,1
0__20160810_174505_0e0d__-118.32991010639921_33.8409283232334.png,0,0,1
0__20170419_180519_1009__-122.40688680606976_37.8114950104279.png,0,0,1
0__20170620_180743_102f__-122.38188880024646_37.61673532913522.png,0,0,1
0__20170624_180910_100c__-122.56584604831254_37.80569867166211.png,0,0,1
0__20170815_180822_102d__-122.32649380689163_37.72816032871097.png,0,0,1
0__20170427_180609_1041__-122.51767608494018_37.671637935350475.png,0,0,1
0__20161218_180847_0e26__-122.3786709_37.6276155616.png,0,0,1
0__20170129_181026_0e1f__-122.37064585901672_37.804844596869714.png,0,0,1
0__20170621_180704_1007__-121.64024935160333_38.74990000210692.png,0,0,1
0__20170223_180859_0e20__-121.922878644_37.38116658.png,0,0,1
0__20151112_182744_0c47__-118.27341320861218_33.97939517289888.png,0,0,1
0__20151202_183817_0905__-118.403594642_33.9471916442.png,0,0,1
0__20170702_181120_103a__-122.33867933045343_37.73988333005278.png,0,0,1
0__20160823_221550_0c18__-117.200969056_32.7332364478.png,0,0,1
0__20160628_230903_0c13__-117.71717320911775_33.97299113673421.png,0,0,1
0__20170517_180459_103b__-122.03845063_37.4430307538.png,0,0,1
0__20170317_174817_0f1d__-119.153488926_34.1223203207.png,0,0,1
1__20161218_180847_0e26__-122.37913514_37.6274944457.png,1,0,0
0__20170423_174105_1018__-117.23640846343646_32.69496269190909.png,0,0,1
1__20170415_180506_1024__-122.391771224_37.6173487046.png,1,0,0
1__20161118_174611_0e30__-117.863212522_33.6779038562.png,1,0,0
1__20170620_174906_1032__-118.40363351368897_33.940212849406244.png,1,0,0
0__20151115_171901_0c68__-117.12358304588933_32.827729082783456.png,0,0,1
0__20170618_174928_1031__-118.3854548682166_33.9335725549831.png,0,0,1
0__20170923_181240_0f42__-122.35084878472682_37.781158971093056.png,0,0,1
0__20170501_181322_0e1f__-122.382921058_37.6152264882.png,0,0,1
1__20170416_174402_1025__-117.861698006_33.680381765.png,1,0,0
0__20151223_185618_0c47__-121.45039228435955_38.599015367636774.png,0,0,1
0__20170614_180813_100b__-122.50534606828147_37.70982124085716.png,0,0,1
0__20170712_180850_0f41__-122.05258330828038_37.4222427143664.png,0,0,1
0__20161116_180805_0e14__-122.388514372_37.6129571981.png,0,0,1
0__20170519_181145_0e26__-122.21570337_37.7196609099.png,0,0,1
0__20170815_180821_102d__-122.33971895196679_37.76849682060519.png,0,0,1
0__20170505_181259_0e2f__-122.379222489_37.6266991046.png,0,0,1
0__20160905_193624_1_0c37__-117.610608013_34.0434520512.png,0,0,1
0__20150603_183830_090b__-121.882150308_37.3148101796.png,0,0,1
0__20161008_174747_0e26__-118.431479287_33.9374828378.png,0,0,1
0__20160220_181851_1_0c73__-117.261240845_32.7706875238.png,0,0,1
0__20170620_174902_0f3f__-118.22888050593573_33.81592275107552.png,0,0,1
1__20170615_174851_100b__-118.40038366061873_33.94234840620874.png,1,0,0
0__20170602_174242_1021__-117.19863094184747_32.73288836528149.png,0,0,1
0__20160830_220133_0c24__-118.40115275_33.9408076823.png,0,0,1
0__20170615_180730_1003__-122.24050158757412_37.56767071594864.png,0,0,1
0__20150827_012518_1_0b0a__-118.403408078_33.9397809948.png,0,0,1
0__20170414_180532_0f28__-122.383497116_37.6154458197.png,0,0,1
1__20170722_175038_0f38__-118.40363351368897_33.940212849406244.png,1,0,0
0__20170403_175037_0e0f__-117.823871677_33.6810062552.png,0,0,1
1__20170627_175608_0e2f__-118.41087373581179_33.940965685695026.png,1,0,0
0__20161001_174153_0e16__-117.203822685_32.7349908848.png,0,0,1
0__20170407_175220_0e26__-118.401354121_33.9412111993.png,0,0,1
0__20171217_181636_1032__-122.1740987466002_37.81228302357356.png,0,0,1
0__20170722_174848_100b__-117.61828163584981_34.07523144669941.png,0,0,1
0__20170520_174842_1008__-118.4014764_33.9407498901.png,0,0,1
0__20150904_215125_0b0a__-118.39232069894119_34.00237426786464.png,0,0,1
1__20160905_193459_0c37__-122.384510263_37.6198917809.png,1,0,0
0__20170623_181206_0e14__-121.68254912975824_38.76811854069151.png,0,0,1
0__20170425_174731_100c__-118.4626545289371_33.974423308150044.png,0,0,1
0__20171212_181754_0e26__-122.21973599158018_37.82186851678844.png,0,0,1
